FID,TYPEPIPE,Operator,Status,Shape_Leng,geometry
212,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00297999999998,"LINESTRING (-94.214844 29.8885680000001, -94.217824 29.8885680000001)"
213,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00632000000002,"LINESTRING (-94.214844 29.8835040000001, -94.221164 29.8835040000001)"
214,Intrastate,Texas Intrastate Pipeline Co,Operating,0.005064,"LINESTRING (-94.214844 29.8885680000001, -94.214844 29.8835040000001)"
215,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00390799999997,"LINESTRING (-94.214844 29.892476, -94.214844 29.8885680000001)"
216,Intrastate,Texas Intrastate Pipeline Co,Operating,0.013544,"LINESTRING (-94.2283879999999 29.892476, -94.214844 29.892476)"
218,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00560075566332,"LINESTRING (-94.22848 29.8980760000001, -94.2283879999999 29.892476)"
219,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00556420704142,"LINESTRING (-94.23296 29.901376, -94.22848 29.8980760000001)"
220,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00556063881224,"LINESTRING (-94.030256 30.025584, -94.035696 30.024432)"
221,Intrastate,Texas Intrastate Pipeline Co,Operating,0.021850927669,"LINESTRING (-94.01392 30.0110720000001, -94.030256 30.025584)"
222,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0175705644759,"LINESTRING (-94.01392 30.0110720000001, -94.004576 30.0259520000001)"
